"Befolkning efter region, ålder, utbildningsnivå, kön och år"

"region","ålder","utbildningsnivå","kön","2010","2011","2012","2013","2014","2015","2016","2017"
"07 Kronobergs län","35-44 år","forskarutbildning","män",93,89,82,93,112,105,115,120
"07 Kronobergs län","35-44 år","forskarutbildning","kvinnor",71,67,67,70,70,71,73,78
"07 Kronobergs län","35-44 år","uppgift om utbildningsnivå saknas","män",222,198,242,266,292,311,351,413
"07 Kronobergs län","35-44 år","uppgift om utbildningsnivå saknas","kvinnor",164,140,149,169,179,178,220,249
"07 Kronobergs län","45-54 år","förgymnasial utbildning kortare än 9 år","män",190,200,208,211,234,251,267,300
"07 Kronobergs län","45-54 år","förgymnasial utbildning kortare än 9 år","kvinnor",255,266,284,299,303,316,339,380
"07 Kronobergs län","45-54 år","förgymnasial utbildning, 9 (10) år","män",2175,2055,1925,1808,1673,1558,1472,1429
"07 Kronobergs län","45-54 år","förgymnasial utbildning, 9 (10) år","kvinnor",1067,958,894,825,752,694,703,684
"07 Kronobergs län","45-54 år","gymnasial utbildning, högst 2 år","män",5016,5134,5333,5450,5497,5574,5561,5470
"07 Kronobergs län","45-54 år","gymnasial utbildning, högst 2 år","kvinnor",4151,4102,4108,4055,3970,3901,3827,3636
"07 Kronobergs län","45-54 år","gymnasial utbildning, 3 år","män",1183,1238,1322,1347,1380,1398,1448,1527
"07 Kronobergs län","45-54 år","gymnasial utbildning, 3 år","kvinnor",1665,1771,1852,1993,2087,2188,2233,2295
"07 Kronobergs län","45-54 år","eftergymnasial utbildning, mindre än 3 år","män",1648,1697,1777,1844,1876,1957,2019,2032
"07 Kronobergs län","45-54 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1926,1934,1955,1970,2011,2025,2049,2040
"07 Kronobergs län","45-54 år","eftergymnasial utbildning, 3 år eller mer","män",1310,1337,1362,1392,1437,1485,1578,1681
"07 Kronobergs län","45-54 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",2067,2154,2220,2312,2448,2549,2691,2869
"07 Kronobergs län","45-54 år","forskarutbildning","män",88,100,106,112,114,114,119,132
"07 Kronobergs län","45-54 år","forskarutbildning","kvinnor",45,53,64,72,83,78,80,80
"07 Kronobergs län","45-54 år","uppgift om utbildningsnivå saknas","män",138,142,130,147,139,143,198,223
"07 Kronobergs län","45-54 år","uppgift om utbildningsnivå saknas","kvinnor",96,99,102,101,115,109,140,161
"07 Kronobergs län","55-64 år","förgymnasial utbildning kortare än 9 år","män",1788,1467,1157,889,694,535,413,361
"07 Kronobergs län","55-64 år","förgymnasial utbildning kortare än 9 år","kvinnor",1109,909,763,638,542,471,401,371
"07 Kronobergs län","55-64 år","förgymnasial utbildning, 9 (10) år","män",1999,2151,2234,2329,2341,2347,2333,2263
"07 Kronobergs län","55-64 år","förgymnasial utbildning, 9 (10) år","kvinnor",1348,1424,1439,1411,1386,1358,1310,1248
"07 Kronobergs län","55-64 år","gymnasial utbildning, högst 2 år","män",3625,3715,3784,3879,4055,4174,4268,4420
"07 Kronobergs län","55-64 år","gymnasial utbildning, högst 2 år","kvinnor",4525,4440,4336,4263,4220,4169,4104,4067
"07 Kronobergs län","55-64 år","gymnasial utbildning, 3 år","män",1579,1514,1428,1368,1296,1235,1171,1159
"07 Kronobergs län","55-64 år","gymnasial utbildning, 3 år","kvinnor",1189,1230,1274,1260,1289,1307,1327,1358
"07 Kronobergs län","55-64 år","eftergymnasial utbildning, mindre än 3 år","män",1471,1480,1507,1536,1513,1481,1506,1528
"07 Kronobergs län","55-64 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1665,1706,1752,1745,1753,1774,1802,1801
"07 Kronobergs län","55-64 år","eftergymnasial utbildning, 3 år eller mer","män",1529,1501,1471,1406,1354,1339,1285,1270
"07 Kronobergs län","55-64 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",1840,1890,1887,1897,1867,1846,1846,1881
"07 Kronobergs län","55-64 år","forskarutbildning","män",79,84,83,78,77,79,76,81
"07 Kronobergs län","55-64 år","forskarutbildning","kvinnor",38,38,41,45,45,52,58,61
"07 Kronobergs län","55-64 år","uppgift om utbildningsnivå saknas","män",144,111,108,115,121,109,118,126
"07 Kronobergs län","55-64 år","uppgift om utbildningsnivå saknas","kvinnor",109,81,88,92,92,96,106,111
"07 Kronobergs län","65-74 år","förgymnasial utbildning kortare än 9 år","män",3483,3446,3409,3338,3170,3009,2782,2513
"07 Kronobergs län","65-74 år","förgymnasial utbildning kortare än 9 år","kvinnor",2773,2675,2524,2363,2201,2063,1890,1654
"07 Kronobergs län","65-74 år","förgymnasial utbildning, 9 (10) år","män",498,576,695,788,929,1061,1203,1361
"07 Kronobergs län","65-74 år","förgymnasial utbildning, 9 (10) år","kvinnor",745,779,808,887,920,977,1010,1086
"07 Kronobergs län","65-74 år","gymnasial utbildning, högst 2 år","män",2196,2386,2509,2629,2721,2788,2937,2996
"07 Kronobergs län","65-74 år","gymnasial utbildning, högst 2 år","kvinnor",3450,3666,3812,3951,4062,4141,4257,4297
"07 Kronobergs län","65-74 år","gymnasial utbildning, 3 år","män",1369,1422,1468,1539,1588,1610,1630,1655
"07 Kronobergs län","65-74 år","gymnasial utbildning, 3 år","kvinnor",454,506,567,651,729,806,892,983
"07 Kronobergs län","65-74 år","eftergymnasial utbildning, mindre än 3 år","män",722,793,834,892,989,1070,1141,1198
"07 Kronobergs län","65-74 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",787,877,949,1037,1117,1199,1285,1365
"07 Kronobergs län","65-74 år","eftergymnasial utbildning, 3 år eller mer","män",871,961,1059,1154,1251,1300,1383,1400
"07 Kronobergs län","65-74 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",908,1019,1137,1230,1344,1451,1514,1586
"07 Kronobergs län","65-74 år","forskarutbildning","män",62,63,64,69,81,84,90,83
"07 Kronobergs län","65-74 år","forskarutbildning","kvinnor",20,22,23,25,28,28,26,28
"07 Kronobergs län","65-74 år","uppgift om utbildningsnivå saknas","män",217,199,201,214,208,209,201,191
"07 Kronobergs län","65-74 år","uppgift om utbildningsnivå saknas","kvinnor",220,213,189,181,166,151,166,157
"08 Kalmar län","16-24 år","förgymnasial utbildning kortare än 9 år","män",100,111,130,130,167,199,214,210
"08 Kalmar län","16-24 år","förgymnasial utbildning kortare än 9 år","kvinnor",78,84,91,94,99,105,118,109
"08 Kalmar län","16-24 år","förgymnasial utbildning, 9 (10) år","män",6007,5771,5488,4982,4790,4669,4793,4958
"08 Kalmar län","16-24 år","förgymnasial utbildning, 9 (10) år","kvinnor",5531,5160,4807,4416,4227,4093,4169,4157
"08 Kalmar län","16-24 år","gymnasial utbildning, högst 2 år","män",609,611,554,491,484,450,492,452
"08 Kalmar län","16-24 år","gymnasial utbildning, högst 2 år","kvinnor",385,393,386,367,359,353,357,354
"08 Kalmar län","16-24 år","gymnasial utbildning, 3 år","män",6033,6110,6236,6342,6149,5867,5568,5251
"08 Kalmar län","16-24 år","gymnasial utbildning, 3 år","kvinnor",5296,5496,5538,5446,5243,5033,4732,4550
"08 Kalmar län","16-24 år","eftergymnasial utbildning, mindre än 3 år","män",1119,1207,1196,1192,1189,1062,1043,901
"08 Kalmar län","16-24 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1619,1676,1652,1641,1657,1520,1433,1301
"08 Kalmar län","16-24 år","eftergymnasial utbildning, 3 år eller mer","män",160,146,181,210,211,210,205,180
"08 Kalmar län","16-24 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",370,403,458,434,444,469,465,431
"08 Kalmar län","16-24 år","forskarutbildning","män",0,0,0,0,0,0,0,0
"08 Kalmar län","16-24 år","forskarutbildning","kvinnor",0,0,0,0,0,0,0,0
"08 Kalmar län","16-24 år","uppgift om utbildningsnivå saknas","män",541,535,543,566,574,643,951,931
"08 Kalmar län","16-24 år","uppgift om utbildningsnivå saknas","kvinnor",361,358,354,394,392,433,563,517
"08 Kalmar län","25-34 år","förgymnasial utbildning kortare än 9 år","män",190,187,220,239,282,331,431,422
"08 Kalmar län","25-34 år","förgymnasial utbildning kortare än 9 år","kvinnor",173,213,222,234,246,293,340,373
"08 Kalmar län","25-34 år","förgymnasial utbildning, 9 (10) år","män",1411,1439,1437,1411,1415,1465,1537,1533
"08 Kalmar län","25-34 år","förgymnasial utbildning, 9 (10) år","kvinnor",847,845,831,795,797,848,893,914
"08 Kalmar län","25-34 år","gymnasial utbildning, högst 2 år","män",1051,982,1107,1194,1211,1261,1317,1363
"08 Kalmar län","25-34 år","gymnasial utbildning, högst 2 år","kvinnor",757,722,763,819,850,902,953,987
"08 Kalmar län","25-34 år","gymnasial utbildning, 3 år","män",5472,5558,5591,5727,5954,6259,6545,6901
"08 Kalmar län","25-34 år","gymnasial utbildning, 3 år","kvinnor",3815,3886,3960,4083,4245,4433,4636,4840
"08 Kalmar län","25-34 år","eftergymnasial utbildning, mindre än 3 år","män",1628,1665,1759,1868,1979,2190,2320,2360
"08 Kalmar län","25-34 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1547,1556,1633,1734,1814,1937,2072,2211
"08 Kalmar län","25-34 år","eftergymnasial utbildning, 3 år eller mer","män",2082,1994,1949,1927,1950,2009,2037,2041
"08 Kalmar län","25-34 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",3578,3571,3590,3644,3693,3806,3902,3894
"08 Kalmar län","25-34 år","forskarutbildning","män",24,26,21,20,19,22,18,12
"08 Kalmar län","25-34 år","forskarutbildning","kvinnor",24,13,20,21,20,16,15,18
"08 Kalmar län","25-34 år","uppgift om utbildningsnivå saknas","män",312,303,311,325,362,347,535,434
"08 Kalmar län","25-34 år","uppgift om utbildningsnivå saknas","kvinnor",242,195,234,230,255,242,378,320
"08 Kalmar län","35-44 år","förgymnasial utbildning kortare än 9 år","män",169,173,177,202,248,322,377,394
"08 Kalmar län","35-44 år","förgymnasial utbildning kortare än 9 år","kvinnor",273,277,280,309,318,352,382,395
"08 Kalmar län","35-44 år","förgymnasial utbildning, 9 (10) år","män",1569,1417,1326,1336,1429,1417,1427,1449
"08 Kalmar län","35-44 år","förgymnasial utbildning, 9 (10) år","kvinnor",882,819,792,796,779,773,803,812
"08 Kalmar län","35-44 år","gymnasial utbildning, högst 2 år","män",6140,5541,4820,4170,3609,3115,2647,2216
"08 Kalmar län","35-44 år","gymnasial utbildning, högst 2 år","kvinnor",3993,3504,3077,2670,2317,2002,1686,1487
"08 Kalmar län","35-44 år","gymnasial utbildning, 3 år","män",2432,2755,3152,3468,3857,4134,4456,4691
"08 Kalmar län","35-44 år","gymnasial utbildning, 3 år","kvinnor",3095,3122,3161,3157,3223,3227,3247,3275
"08 Kalmar län","35-44 år","eftergymnasial utbildning, mindre än 3 år","män",1916,1806,1733,1665,1693,1680,1763,1792
"08 Kalmar län","35-44 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",2174,2062,1942,1826,1751,1715,1669,1687
"08 Kalmar län","35-44 år","eftergymnasial utbildning, 3 år eller mer","män",2008,2135,2241,2345,2469,2562,2604,2699
"08 Kalmar län","35-44 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",3452,3681,3902,4074,4248,4401,4626,4737
"08 Kalmar län","35-44 år","forskarutbildning","män",90,76,78,68,74,72,90,99
"08 Kalmar län","35-44 år","forskarutbildning","kvinnor",54,58,72,77,78,86,92,88
"08 Kalmar län","35-44 år","uppgift om utbildningsnivå saknas","män",138,141,178,204,225,260,349,305
"08 Kalmar län","35-44 år","uppgift om utbildningsnivå saknas","kvinnor",107,124,119,146,149,153,250,204
"08 Kalmar län","45-54 år","förgymnasial utbildning kortare än 9 år","män",241,235,245,245,257,277,307,310
"08 Kalmar län","45-54 år","förgymnasial utbildning kortare än 9 år","kvinnor",283,282,284,294,317,333,366,385
"08 Kalmar län","45-54 år","förgymnasial utbildning, 9 (10) år","män",3032,2862,2700,2519,2330,2186,2106,1993
"08 Kalmar län","45-54 år","förgymnasial utbildning, 9 (10) år","kvinnor",1640,1535,1402,1291,1209,1160,1110,1059
"08 Kalmar län","45-54 år","gymnasial utbildning, högst 2 år","män",7060,7214,7444,7546,7568,7575,7533,7428
"08 Kalmar län","45-54 år","gymnasial utbildning, högst 2 år","kvinnor",6015,5877,5758,5612,5424,5233,5072,4849
"08 Kalmar län","45-54 år","gymnasial utbildning, 3 år","män",1570,1577,1594,1637,1694,1743,1785,1893
"08 Kalmar län","45-54 år","gymnasial utbildning, 3 år","kvinnor",2288,2450,2627,2752,2843,2924,3011,3044
"08 Kalmar län","45-54 år","eftergymnasial utbildning, mindre än 3 år","män",1868,1966,2060,2100,2181,2253,2301,2313
"08 Kalmar län","45-54 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",2444,2430,2483,2509,2534,2567,2614,2622
"08 Kalmar län","45-54 år","eftergymnasial utbildning, 3 år eller mer","män",1504,1529,1576,1623,1671,1728,1852,1924
"08 Kalmar län","45-54 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",2435,2502,2574,2687,2840,2970,3124,3358
"08 Kalmar län","45-54 år","forskarutbildning","män",72,74,82,89,88,97,104,99
"08 Kalmar län","45-54 år","forskarutbildning","kvinnor",55,60,67,62,71,68,69,76
"08 Kalmar län","45-54 år","uppgift om utbildningsnivå saknas","män",122,118,109,118,125,126,175,163
"08 Kalmar län","45-54 år","uppgift om utbildningsnivå saknas","kvinnor",84,67,67,79,74,75,128,105
"08 Kalmar län","55-64 år","förgymnasial utbildning kortare än 9 år","män",2542,1994,1468,1078,747,510,397,321
"08 Kalmar län","55-64 år","förgymnasial utbildning kortare än 9 år","kvinnor",1582,1250,956,692,498,392,318,294
"08 Kalmar län","55-64 år","förgymnasial utbildning, 9 (10) år","män",2928,3131,3300,3466,3555,3575,3484,3376
"08 Kalmar län","55-64 år","förgymnasial utbildning, 9 (10) år","kvinnor",1984,1996,2021,2049,2029,1952,1884,1792
"08 Kalmar län","55-64 år","gymnasial utbildning, högst 2 år","män",5306,5420,5528,5600,5814,5968,6159,6352
"08 Kalmar län","55-64 år","gymnasial utbildning, högst 2 år","kvinnor",6605,6588,6434,6291,6209,6164,6087,6080
"08 Kalmar län","55-64 år","gymnasial utbildning, 3 år","män",2202,2120,2010,1893,1779,1725,1682,1626
"08 Kalmar län","55-64 år","gymnasial utbildning, 3 år","kvinnor",1546,1606,1681,1737,1790,1843,1895,1984
"08 Kalmar län","55-64 år","eftergymnasial utbildning, mindre än 3 år","män",1770,1785,1793,1796,1781,1780,1803,1834
"08 Kalmar län","55-64 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",2137,2230,2269,2306,2360,2392,2388,2429
"08 Kalmar län","55-64 år","eftergymnasial utbildning, 3 år eller mer","män",1882,1847,1789,1726,1686,1655,1618,1615
"08 Kalmar län","55-64 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",2367,2377,2404,2397,2371,2395,2439,2448
"08 Kalmar län","55-64 år","forskarutbildning","män",90,81,82,83,91,99,93,96
"08 Kalmar län","55-64 år","forskarutbildning","kvinnor",48,50,55,61,68,75,80,84
"08 Kalmar län","55-64 år","uppgift om utbildningsnivå saknas","män",103,85,95,99,101,104,123,125
"08 Kalmar län","55-64 år","uppgift om utbildningsnivå saknas","kvinnor",112,87,86,76,72,76,97,111
"08 Kalmar län","65-74 år","förgymnasial utbildning kortare än 9 år","män",5443,5386,5367,5176,4919,4638,4252,3756
"08 Kalmar län","65-74 år","förgymnasial utbildning kortare än 9 år","kvinnor",4419,4232,4059,3838,3552,3270,2963,2591
"08 Kalmar län","65-74 år","förgymnasial utbildning, 9 (10) år","män",699,823,930,1036,1198,1370,1616,1886
"08 Kalmar län","65-74 år","förgymnasial utbildning, 9 (10) år","kvinnor",1227,1293,1332,1374,1441,1527,1617,1700
"08 Kalmar län","65-74 år","gymnasial utbildning, högst 2 år","män",3285,3516,3737,3954,4099,4286,4427,4538
"08 Kalmar län","65-74 år","gymnasial utbildning, högst 2 år","kvinnor",4913,5230,5610,5884,6065,6218,6352,6352
"08 Kalmar län","65-74 år","gymnasial utbildning, 3 år","män",1761,1879,2003,2101,2157,2199,2213,2261
"08 Kalmar län","65-74 år","gymnasial utbildning, 3 år","kvinnor",649,730,794,883,969,1078,1184,1291
"08 Kalmar län","65-74 år","eftergymnasial utbildning, mindre än 3 år","män",1043,1121,1217,1299,1409,1514,1577,1608
"08 Kalmar län","65-74 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1198,1293,1373,1482,1597,1681,1785,1910
"08 Kalmar län","65-74 år","eftergymnasial utbildning, 3 år eller mer","män",1261,1387,1514,1625,1716,1803,1872,1901
"08 Kalmar län","65-74 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",1458,1595,1713,1816,1949,2069,2134,2222
"08 Kalmar län","65-74 år","forskarutbildning","män",74,92,92,93,101,104,105,105
"08 Kalmar län","65-74 år","forskarutbildning","kvinnor",31,32,32,40,40,49,53,58
"08 Kalmar län","65-74 år","uppgift om utbildningsnivå saknas","män",198,196,182,176,173,176,200,199
"08 Kalmar län","65-74 år","uppgift om utbildningsnivå saknas","kvinnor",180,171,159,168,152,149,170,163
"09 Gotlands län","16-24 år","förgymnasial utbildning kortare än 9 år","män",46,42,37,31,26,19,20,17
"09 Gotlands län","16-24 år","förgymnasial utbildning kortare än 9 år","kvinnor",30,27,27,22,16,12,12,13
"09 Gotlands län","16-24 år","förgymnasial utbildning, 9 (10) år","män",1527,1436,1350,1266,1228,1169,1160,1163
"09 Gotlands län","16-24 år","förgymnasial utbildning, 9 (10) år","kvinnor",1339,1270,1171,1105,1023,1008,985,1017
"09 Gotlands län","16-24 år","gymnasial utbildning, högst 2 år","män",113,108,99,84,73,75,77,75
"09 Gotlands län","16-24 år","gymnasial utbildning, högst 2 år","kvinnor",95,90,84,70,69,79,75,73
"09 Gotlands län","16-24 år","gymnasial utbildning, 3 år","män",1701,1729,1724,1719,1648,1565,1456,1340
"09 Gotlands län","16-24 år","gymnasial utbildning, 3 år","kvinnor",1600,1605,1592,1486,1432,1324,1249,1164
"09 Gotlands län","16-24 år","eftergymnasial utbildning, mindre än 3 år","män",276,297,304,299,293,262,277,261
"09 Gotlands län","16-24 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",275,302,335,330,282,259,249,252
"09 Gotlands län","16-24 år","eftergymnasial utbildning, 3 år eller mer","män",35,38,28,35,36,30,38,28
"09 Gotlands län","16-24 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",51,53,48,64,85,71,68,55
"09 Gotlands län","16-24 år","forskarutbildning","män",0,0,0,0,0,0,0,0
"09 Gotlands län","16-24 år","forskarutbildning","kvinnor",0,0,0,0,0,0,0,0
"09 Gotlands län","16-24 år","uppgift om utbildningsnivå saknas","män",128,130,132,128,92,93,129,167
"09 Gotlands län","16-24 år","uppgift om utbildningsnivå saknas","kvinnor",77,74,56,57,47,67,71,84
"09 Gotlands län","25-34 år","förgymnasial utbildning kortare än 9 år","män",28,29,29,40,47,61,69,79
"09 Gotlands län","25-34 år","förgymnasial utbildning kortare än 9 år","kvinnor",15,20,23,20,22,29,35,45
"09 Gotlands län","25-34 år","förgymnasial utbildning, 9 (10) år","män",344,362,341,301,297,328,334,342
"09 Gotlands län","25-34 år","förgymnasial utbildning, 9 (10) år","kvinnor",250,241,220,205,191,199,210,202
"09 Gotlands län","25-34 år","gymnasial utbildning, högst 2 år","män",249,213,215,225,211,196,218,200
"09 Gotlands län","25-34 år","gymnasial utbildning, högst 2 år","kvinnor",175,156,192,192,182,161,186,183
"09 Gotlands län","25-34 år","gymnasial utbildning, 3 år","män",1307,1336,1340,1398,1449,1563,1594,1669
"09 Gotlands län","25-34 år","gymnasial utbildning, 3 år","kvinnor",1046,1063,1068,1103,1126,1204,1248,1277
"09 Gotlands län","25-34 år","eftergymnasial utbildning, mindre än 3 år","män",367,375,372,363,408,403,456,496
"09 Gotlands län","25-34 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",324,370,407,416,422,444,460,492
"09 Gotlands län","25-34 år","eftergymnasial utbildning, 3 år eller mer","män",389,390,412,413,400,408,388,407
"09 Gotlands län","25-34 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",736,743,726,747,758,781,815,843
"09 Gotlands län","25-34 år","forskarutbildning","män",1,1,1,3,3,3,2,5
"09 Gotlands län","25-34 år","forskarutbildning","kvinnor",3,2,1,2,4,4,6,3
"09 Gotlands län","25-34 år","uppgift om utbildningsnivå saknas","män",45,45,45,52,52,50,77,101
"09 Gotlands län","25-34 år","uppgift om utbildningsnivå saknas","kvinnor",40,44,49,50,43,44,50,49
"09 Gotlands län","35-44 år","förgymnasial utbildning kortare än 9 år","män",18,21,27,24,23,27,35,35
"09 Gotlands län","35-44 år","förgymnasial utbildning kortare än 9 år","kvinnor",29,25,22,22,24,27,30,27
"09 Gotlands län","35-44 år","förgymnasial utbildning, 9 (10) år","män",400,374,357,368,356,350,365,366
"09 Gotlands län","35-44 år","förgymnasial utbildning, 9 (10) år","kvinnor",251,238,222,235,232,210,202,214
"09 Gotlands län","35-44 år","gymnasial utbildning, högst 2 år","män",1430,1249,1039,901,793,700,569,464
"09 Gotlands län","35-44 år","gymnasial utbildning, högst 2 år","kvinnor",1014,875,744,637,556,499,423,325
"09 Gotlands län","35-44 år","gymnasial utbildning, 3 år","män",669,743,834,881,942,1040,1111,1177
"09 Gotlands län","35-44 år","gymnasial utbildning, 3 år","kvinnor",792,800,781,781,840,856,881,914
"09 Gotlands län","35-44 år","eftergymnasial utbildning, mindre än 3 år","män",393,395,400,403,389,385,404,407
"09 Gotlands län","35-44 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",450,429,424,418,408,380,397,384
"09 Gotlands län","35-44 år","eftergymnasial utbildning, 3 år eller mer","män",566,583,608,616,629,656,656,644
"09 Gotlands län","35-44 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",962,984,1019,1062,1115,1165,1191,1179
"09 Gotlands län","35-44 år","forskarutbildning","män",18,14,14,13,14,18,16,14
"09 Gotlands län","35-44 år","forskarutbildning","kvinnor",14,13,11,11,10,10,15,18
"09 Gotlands län","35-44 år","uppgift om utbildningsnivå saknas","män",29,22,35,36,43,47,63,67
"09 Gotlands län","35-44 år","uppgift om utbildningsnivå saknas","kvinnor",17,18,21,21,33,33,41,48
"09 Gotlands län","45-54 år","förgymnasial utbildning kortare än 9 år","män",58,49,45,45,39,36,42,38
"09 Gotlands län","45-54 år","förgymnasial utbildning kortare än 9 år","kvinnor",36,40,41,41,40,40,38,42
"09 Gotlands län","45-54 år","förgymnasial utbildning, 9 (10) år","män",681,635,598,564,533,498,489,458
"09 Gotlands län","45-54 år","förgymnasial utbildning, 9 (10) år","kvinnor",423,396,370,339,325,318,295,275
"09 Gotlands län","45-54 år","gymnasial utbildning, högst 2 år","män",1814,1861,1863,1852,1810,1775,1777,1755
"09 Gotlands län","45-54 år","gymnasial utbildning, högst 2 år","kvinnor",1623,1606,1572,1527,1470,1391,1327,1250
"09 Gotlands län","45-54 år","gymnasial utbildning, 3 år","män",451,461,452,463,473,463,494,509
"09 Gotlands län","45-54 år","gymnasial utbildning, 3 år","kvinnor",614,648,698,724,738,758,773,795
"09 Gotlands län","45-54 år","eftergymnasial utbildning, mindre än 3 år","män",441,435,439,432,438,443,451,466
"09 Gotlands län","45-54 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",534,549,572,576,564,551,549,580
"09 Gotlands län","45-54 år","eftergymnasial utbildning, 3 år eller mer","män",441,465,457,468,485,501,529,572
"09 Gotlands län","45-54 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",766,788,822,825,872,912,956,1053
"09 Gotlands län","45-54 år","forskarutbildning","män",28,28,26,27,27,27,22,30
"09 Gotlands län","45-54 år","forskarutbildning","kvinnor",17,19,21,20,20,16,12,13
"09 Gotlands län","45-54 år","uppgift om utbildningsnivå saknas","män",16,12,11,18,22,20,27,33
"09 Gotlands län","45-54 år","uppgift om utbildningsnivå saknas","kvinnor",16,11,15,17,17,16,16,20
"09 Gotlands län","55-64 år","förgymnasial utbildning kortare än 9 år","män",851,746,632,514,422,318,238,151
"09 Gotlands län","55-64 år","förgymnasial utbildning kortare än 9 år","kvinnor",452,366,298,235,183,144,111,83
"09 Gotlands län","55-64 år","förgymnasial utbildning, 9 (10) år","män",433,501,552,602,638,651,676,689
"09 Gotlands län","55-64 år","förgymnasial utbildning, 9 (10) år","kvinnor",437,451,468,487,493,488,500,484
"09 Gotlands län","55-64 år","gymnasial utbildning, högst 2 år","män",1300,1330,1407,1473,1517,1558,1603,1644
"09 Gotlands län","55-64 år","gymnasial utbildning, högst 2 år","kvinnor",1576,1532,1539,1533,1550,1536,1562,1576
"09 Gotlands län","55-64 år","gymnasial utbildning, 3 år","män",567,557,550,533,512,483,472,457
"09 Gotlands län","55-64 år","gymnasial utbildning, 3 år","kvinnor",411,448,462,477,491,503,527,548
"09 Gotlands län","55-64 år","eftergymnasial utbildning, mindre än 3 år","män",396,406,407,418,426,439,441,453
"09 Gotlands län","55-64 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",549,547,535,551,559,569,561,576
"09 Gotlands län","55-64 år","eftergymnasial utbildning, 3 år eller mer","män",603,596,563,550,523,506,489,474
"09 Gotlands län","55-64 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",751,762,770,767,752,772,784,775
"09 Gotlands län","55-64 år","forskarutbildning","män",20,23,24,28,31,33,36,36
"09 Gotlands län","55-64 år","forskarutbildning","kvinnor",10,12,13,14,14,16,19,20
"09 Gotlands län","55-64 år","uppgift om utbildningsnivå saknas","män",11,11,15,17,15,17,15,18
"09 Gotlands län","55-64 år","uppgift om utbildningsnivå saknas","kvinnor",10,9,9,13,16,16,17,15
"09 Gotlands län","65-74 år","förgymnasial utbildning kortare än 9 år","män",1178,1161,1149,1160,1125,1102,1077,1040
"09 Gotlands län","65-74 år","förgymnasial utbildning kortare än 9 år","kvinnor",1044,1006,970,927,851,808,746,661
"09 Gotlands län","65-74 år","förgymnasial utbildning, 9 (10) år","män",143,154,168,186,200,217,238,269
"09 Gotlands län","65-74 år","förgymnasial utbildning, 9 (10) år","kvinnor",251,254,264,265,272,285,306,324
"09 Gotlands län","65-74 år","gymnasial utbildning, högst 2 år","män",884,944,978,1036,1078,1122,1151,1159
"09 Gotlands län","65-74 år","gymnasial utbildning, högst 2 år","kvinnor",1217,1333,1382,1451,1473,1538,1571,1584
"09 Gotlands län","65-74 år","gymnasial utbildning, 3 år","män",383,411,447,475,519,541,561,584
"09 Gotlands län","65-74 år","gymnasial utbildning, 3 år","kvinnor",138,150,172,195,216,243,274,306
"09 Gotlands län","65-74 år","eftergymnasial utbildning, mindre än 3 år","män",275,291,318,343,358,379,387,412
"09 Gotlands län","65-74 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",301,355,395,412,454,479,518,526
"09 Gotlands län","65-74 år","eftergymnasial utbildning, 3 år eller mer","män",457,503,557,584,618,632,645,660
"09 Gotlands län","65-74 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",446,497,537,589,636,655,677,723
"09 Gotlands län","65-74 år","forskarutbildning","män",41,42,38,34,33,33,34,36
"09 Gotlands län","65-74 år","forskarutbildning","kvinnor",10,13,12,13,17,16,14,16
"09 Gotlands län","65-74 år","uppgift om utbildningsnivå saknas","män",13,15,14,15,17,13,15,15
"09 Gotlands län","65-74 år","uppgift om utbildningsnivå saknas","kvinnor",17,15,13,12,12,11,8,13
"10 Blekinge län","16-24 år","förgymnasial utbildning kortare än 9 år","män",53,57,61,64,93,104,114,110
"10 Blekinge län","16-24 år","förgymnasial utbildning kortare än 9 år","kvinnor",44,46,50,63,66,50,50,62
